,Total,mpg,cylinders,displacement,car name,horsepower,weight,acceleration,model year,origin,car name
14,2601.0,24.0,4,113.0,toyota corona mark ii,95,2372,15.0,70,3,toyota corona mark ii
20,2900.5,25.0,4,110.0,peugeot 504,87,2672,17.5,70,2,peugeot 504
21,2651.5,24.0,4,107.0,audi 100 ls,90,2430,14.5,70,2,audi 100 ls
22,2597.5,25.0,4,104.0,saab 99e,95,2375,17.5,70,2,saab 99e
23,2469.5,26.0,4,121.0,bmw 2002,113,2234,12.5,70,2,bmw 2002
30,2523.5,28.0,4,140.0,chevrolet vega 2300,90,2264,15.5,71,1,chevrolet vega 2300
31,2458.0,25.0,4,113.0,toyota corona,95,2228,14.0,71,3,toyota corona
46,2665.0,22.0,4,140.0,chevrolet vega (sw),72,2408,19.0,71,1,chevrolet vega (sw)
49,2455.0,23.0,4,122.0,mercury capri 2000,86,2220,14.0,71,1,mercury capri 2000
50,2358.0,28.0,4,116.0,opel 1900,90,2123,14.0,71,2,opel 1900
57,2509.5,24.0,4,113.0,toyota corona hardtop,95,2278,15.5,72,3,toyota corona hardtop
60,2664.5,20.0,4,140.0,chevrolet vega,90,2408,19.5,72,1,chevrolet vega
61,2462.5,21.0,4,122.0,ford pinto runabout,86,2226,16.5,72,1,ford pinto runabout
76,3164.5,18.0,4,121.0,volvo 145e (sw),112,2933,14.5,72,2,volvo 145e (sw)
77,2750.0,22.0,4,121.0,volkswagen 411 (sw),76,2511,18.0,72,2,volkswagen 411 (sw)
78,3217.5,21.0,4,120.0,peugeot 504 (sw),87,2979,19.5,72,2,peugeot 504 (sw)
80,2632.0,22.0,4,122.0,ford pinto (sw),86,2395,16.0,72,1,ford pinto (sw)
82,2742.5,23.0,4,120.0,toyouta corona mark ii (sw),97,2506,14.5,72,3,toyouta corona mark ii (sw)
109,2659.5,21.0,4,140.0,chevrolet vega,72,2401,19.5,73,1,chevrolet vega
110,2605.5,22.0,4,108.0,datsun 610,94,2379,16.5,73,3,datsun 610
112,2547.5,19.0,4,122.0,ford pinto,85,2310,18.5,73,1,ford pinto
118,2392.5,24.0,4,116.0,opel manta,75,2158,15.5,73,2,opel manta
119,2809.0,20.0,4,114.0,audi 100ls,91,2582,14.0,73,2,audi 100ls
120,3102.5,19.0,4,121.0,volvo 144ea,112,2868,15.5,73,2,volvo 144ea
122,2898.0,24.0,4,121.0,saab 99le,110,2660,14.0,73,2,saab 99le
130,2694.5,26.0,4,122.0,ford pinto,80,2451,16.5,74,1,ford pinto
132,2803.0,25.0,4,140.0,chevrolet vega,75,2542,17.0,74,1,chevrolet vega
148,2482.0,26.0,4,116.0,fiat 124 tc,75,2246,14.0,74,2,fiat 124 tc
149,2729.0,24.0,4,120.0,honda civic,97,2489,15.0,74,3,honda civic
150,2621.5,26.0,4,108.0,subaru,93,2391,15.5,74,3,subaru
168,2899.0,23.0,4,140.0,ford pinto,83,2639,17.0,75,1,ford pinto
170,2853.5,23.0,4,140.0,pontiac astro,78,2592,18.5,75,1,pontiac astro
171,2955.5,24.0,4,134.0,toyota corona,96,2702,13.5,75,3,toyota corona
173,2787.0,24.0,4,119.0,datsun 710,97,2545,17.0,75,3,datsun 710
177,2928.0,23.0,4,115.0,audi 100ls,95,2694,15.0,75,2,audi 100ls
178,3198.0,23.0,4,120.0,peugeot 504,88,2957,17.0,75,2,peugeot 504
179,3183.5,22.0,4,121.0,volvo 244dl,98,2945,14.5,75,2,volvo 244dl
180,2911.5,25.0,4,121.0,saab 99le,115,2671,13.5,75,2,saab 99le
182,2696.5,28.0,4,107.0,fiat 131,86,2464,15.5,76,2,fiat 131
183,2459.9,25.0,4,116.0,opel 1900,81,2220,16.9,76,2,opel 1900
184,2832.9,25.0,4,140.0,capri ii,92,2572,14.9,76,1,capri ii
186,2427.3,27.0,4,101.0,renault 12tl,83,2202,15.3,76,2,renault 12tl
206,2826.1,26.5,4,140.0,ford pinto,72,2565,13.6,76,1,ford pinto
207,3397.7,20.0,4,130.0,volvo 245,102,3150,15.7,76,2,volvo 245
209,3512.9,19.0,4,120.0,peugeot 504,88,3270,21.9,76,2,peugeot 504
217,2392.8,30.0,4,111.0,buick opel isuzu deluxe,80,2155,14.8,77,1,buick opel isuzu deluxe
219,2545.0,25.5,4,122.0,plymouth arrow gs,96,2300,15.5,77,1,plymouth arrow gs
234,3013.5,24.5,4,151.0,pontiac sunbird coupe,88,2740,16.0,77,1,pontiac sunbird coupe
236,3018.3,25.5,4,140.0,ford mustang ii 2+2,89,2755,15.8,77,1,ford mustang ii 2+2
242,2838.3,21.5,4,121.0,bmw 320i,110,2600,12.8,77,2,bmw 320i
255,2983.5,25.1,4,140.0,ford fairmont (man),88,2720,15.4,78,1,ford fairmont (man)
267,2820.7,27.5,4,134.0,toyota corona,95,2560,14.2,78,3,toyota corona
268,2545.8999999999996,27.2,4,119.0,datsun 510,97,2300,14.7,78,3,datsun 510
269,2463.4,30.9,4,105.0,dodge omni,75,2230,14.5,78,1,dodge omni
270,2769.9,21.1,4,134.0,toyota celica gt liftback,95,2515,14.8,78,3,toyota celica gt liftback
271,3023.8999999999996,23.2,4,156.0,plymouth sapporo,105,2745,16.7,78,1,plymouth sapporo
272,3130.4,23.8,4,151.0,oldsmobile starfire sx,85,2855,17.6,78,1,oldsmobile starfire sx
273,2647.8,23.9,4,119.0,datsun 200-sx,97,2405,14.9,78,3,datsun 200-sx
276,3037.2999999999997,21.6,4,121.0,saab 99gle,115,2795,15.7,78,2,saab 99gle
282,3153.6000000000004,22.3,4,140.0,ford fairmont 4,88,2890,17.3,79,1,ford fairmont 4
296,2917.4,27.4,4,121.0,amc spirit dl,80,2670,15.0,79,1,amc spirit dl
299,3468.0,27.2,4,141.0,peugeot 504,71,3190,24.8,79,2,peugeot 504
301,2436.3999999999996,34.2,4,105.0,plymouth horizon,70,2200,13.2,79,1,plymouth horizon
302,2388.4,34.5,4,105.0,plymouth horizon tc3,70,2150,14.9,79,1,plymouth horizon tc3
305,2949.4,28.4,4,151.0,buick skylark limited,90,2670,16.0,79,1,buick skylark limited
308,2837.7,33.5,4,151.0,pontiac phoenix,90,2556,13.2,79,1,pontiac phoenix
313,2958.5,28.0,4,151.0,chevrolet citation,90,2678,16.5,80,1,chevrolet citation
314,3139.5,26.4,4,140.0,ford fairmont,88,2870,18.1,80,1,ford fairmont
315,3283.4,24.3,4,151.0,amc concord,90,3003,20.1,80,1,amc concord
318,2977.3,29.8,4,134.0,toyota corona liftback,90,2711,15.5,80,3,toyota corona liftback
319,2797.8,31.3,4,120.0,mazda 626,75,2542,17.5,80,3,mazda 626
320,2692.0,37.0,4,119.0,datsun 510 hatchback,92,2434,15.0,80,3,datsun 510 hatchback
321,2507.3999999999996,32.2,4,108.0,toyota corolla,75,2265,15.2,80,3,toyota corolla
323,3083.3,27.9,4,156.0,dodge colt,105,2800,14.4,80,1,dodge colt
328,3533.8,30.0,4,146.0,mercedes-benz 240d,67,3250,21.8,80,2,mercedes-benz 240d
335,2758.1,35.0,4,122.0,triumph tr7 coupe,88,2500,15.1,80,2,triumph tr7 coupe
336,3167.9,23.6,4,140.0,ford mustang cobra,?,2905,14.3,80,1,ford mustang cobra
337,2533.4,32.4,4,107.0,honda accord,72,2290,17.0,80,3,honda accord
338,2753.8999999999996,27.2,4,135.0,plymouth reliant,84,2490,15.7,81,1,plymouth reliant
339,2915.0,26.6,4,151.0,buick skylark,84,2635,16.4,81,1,buick skylark
340,2902.2000000000003,25.8,4,156.0,dodge aries wagon (sw),92,2620,14.4,81,1,dodge aries wagon (sw)
342,2648.9,30.0,4,135.0,plymouth reliant,84,2385,12.9,81,1,plymouth reliant
350,2455.6,34.7,4,105.0,plymouth horizon 4,63,2215,14.9,81,1,plymouth horizon 4
353,2429.2,33.0,4,105.0,volkswagen jetta,74,2190,14.2,81,2,volkswagen jetta
354,2557.3,34.5,4,100.0,renault 18i,?,2320,15.8,81,2,renault 18i
355,2453.1,33.7,4,107.0,honda prelude,75,2210,14.4,81,3,honda prelude
356,2595.2000000000003,32.4,4,108.0,toyota corolla,75,2350,16.8,81,3,toyota corolla
357,2869.7000000000003,32.9,4,119.0,datsun 200sx,100,2615,14.8,81,3,datsun 200sx
358,2892.9,31.6,4,120.0,mazda 626,74,2635,18.3,81,3,mazda 626
359,3506.5,28.1,4,141.0,peugeot 505s turbo diesel,80,3230,20.4,81,2,peugeot 505s turbo diesel
367,2851.6,28.0,4,112.0,chevrolet cavalier,88,2605,19.6,82,1,chevrolet cavalier
368,2884.6,27.0,4,112.0,chevrolet cavalier wagon,88,2640,18.6,82,1,chevrolet cavalier wagon
369,2646.0,34.0,4,112.0,chevrolet cavalier 2-door,88,2395,18.0,82,1,chevrolet cavalier 2-door
370,2821.2,31.0,4,112.0,pontiac j2000 se hatchback,85,2575,16.2,82,1,pontiac j2000 se hatchback
371,2792.0,29.0,4,135.0,dodge aries se,84,2525,16.0,82,1,dodge aries se
372,3018.0,27.0,4,151.0,pontiac phoenix,90,2735,18.0,82,1,pontiac phoenix
373,3132.4,24.0,4,140.0,ford fairmont futura,92,2865,16.4,82,1,ford fairmont futura
374,3316.5,23.0,4,151.0,amc concord dl,?,3035,20.5,82,1,amc concord dl
375,2224.3,36.0,4,105.0,volkswagen rabbit l,74,1980,15.3,82,2,volkswagen rabbit l
378,2369.7,38.0,4,105.0,plymouth horizon miser,63,2125,14.7,82,1,plymouth horizon miser
380,2419.5,36.0,4,120.0,nissan stanza xe,88,2160,14.5,82,3,nissan stanza xe
381,2451.5,36.0,4,107.0,honda accord,75,2205,14.5,82,3,honda accord
382,2492.9,34.0,4,108.0,toyota corolla,70,2245,16.9,82,3,toyota corolla
388,2868.5,26.0,4,156.0,chrysler lebaron medallion,92,2585,14.5,82,1,chrysler lebaron medallion
390,2943.9,32.0,4,144.0,toyota celica gt,96,2665,13.9,82,3,toyota celica gt
391,2641.0,36.0,4,135.0,dodge charger 2.2,84,2370,13.0,82,1,dodge charger 2.2
392,3232.3,27.0,4,151.0,chevrolet camaro,90,2950,17.3,82,1,chevrolet camaro
393,3059.6,27.0,4,140.0,ford mustang gl,86,2790,15.6,82,1,ford mustang gl
395,2560.6,32.0,4,135.0,dodge rampage,84,2295,11.6,82,1,dodge rampage
396,2878.6,28.0,4,120.0,ford ranger,79,2625,18.6,82,1,ford ranger
397,2976.4,31.0,4,119.0,chevy s-10,82,2720,19.4,82,1,chevy s-10
